Publication Date,Fiscal Year,Fundind Source Name,FPS Group,FPS Group Name,Agency Number,Agency Name,Revenue Category,Revenue Category Name,Revenue Class Code,Revenue Class Name,Budget Code,Revenue Source,Revenue Source Name,Revenue Structure Description,Adopted Budget Amount,Current Modified Budget Amount,Yr1_FY,Year 1 Revenue Amount,Year 2 Revenue Amount,Year 3 Revenue Amount,Year 4 Revenue Amount
2016 11 17,2017,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00001,REAL PROP TAX 1ST QUART,REAL PROP TAX 1ST QUART,10386162000,10386162000,2017,10364353000,10959257000,11607958000,12151245000
2016 11 17,2017,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00002,REAL PROP TAX 2ND QUART,REAL PROP TAX 2ND QUART,1823062000,1823062000,2017,1823017000,1927657000,2041759000,2137319000
2016 11 17,2017,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00003,REAL PROP TAX 3RD QUART,REAL ESTATE TAXES 3RD QUARTER,10167635000,10167635000,2017,9991423000,10564922000,11190281000,11714020000
2016 11 17,2017,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00004,REAL PROP TAX 4TH QUART,REAL PROP TAX 4TH QUART,1668138000,1668138000,2017,1866204000,1973323000,2090128000,2187952000
2016 11 17,2017,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00021,REAL ESTATE TAX REFUNDS,GEN PROPERTY TAXES REFUNDS,-400000000,-400000000,2017,-400000000,-400000000,-400000000,-400000000
2016 11 17,2017,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00034,REAL PROPERTY TAX LIEN SALES,REAL PROPERTY TAX LIEN SALES,80000000,80000000,2017,80000000,80000000,80000000,80000000
2016 11 17,2017,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00049,ACCRUED REAL ESTATE TAX REVENUE,REAL ESTATE TX REV-NON-CASH,300000000,300000000,2017,300000000,305000000,310000000,320000000
2016 11 17,2017,City Funds,2,Personal Income,002,Mayoralty,20,TAXES,004,INCOME TAXES,0421,00090,PERSONAL INCOME TAX,PERSONAL INCOME TAX,12347000000,12347000000,2017,12311000000,12683000000,13145000000,13660000000
2016 11 17,2017,City Funds,2,Personal Income,002,Mayoralty,20,TAXES,004,INCOME TAXES,0421,00091,REFUNDS OF PERSONAL INCOME TAX,REFUNDS OF PERSONAL INCOME TAX,-1122000000,-1122000000,2017,-1127000000,-1130000000,-1174000000,-1224000000
2016 11 17,2017,City Funds,3,General Corporation,002,Mayoralty,20,TAXES,004,INCOME TAXES,0421,00093,GENERAL CORPORATION TAX,GENERAL CORPORATION TAX,4426000000,4426000000,2017,4394000000,4671000000,4673000000,4719000000
2016 11 17,2017,City Funds,3,General Corporation,002,Mayoralty,20,TAXES,004,INCOME TAXES,0421,00094,REFUNDS OF GENERAL CORP TAX,REFUNDS OF GENERAL CORP TAX,-477000000,-477000000,2017,-525000000,-477000000,-477000000,-477000000
2016 11 17,2017,City Funds,5,Unincorporated Business,002,Mayoralty,20,TAXES,004,INCOME TAXES,0421,00099,UNINCORPORATED BUSINESS INC TX,UNINCORPORATED BUSINESS TAX,2158000000,2158000000,2017,2174000000,2251000000,2347000000,2455000000
2016 11 17,2017,City Funds,5,Unincorporated Business,002,Mayoralty,20,TAXES,004,INCOME TAXES,0421,00100,REFUNDS OF UNICORP BUSN TAX,REFUNDS OF UNICORP BUSN TAX,-98000000,-98000000,2017,-107000000,-101000000,-101000000,-101000000
2016 11 17,2017,City Funds,6,Sale and Use,002,Mayoralty,20,TAXES,002,GENERAL SALES TAX,0421,00050,GENERAL SALES TAX,SALES TAX,7116000000,7116000000,2017,7135000000,7557000000,7880000000,8216000000
2016 11 17,2017,City Funds,7,Commercial Rent,002,Mayoralty,20,TAXES,005,OTHER TAXES,0421,00113,TX ON COMMERCIAL RENTS - OCCUP,TAX ON COMMERCIAL RENTS-OCCUP,805000000,805000000,2017,808000000,840000000,875000000,910000000
2016 11 17,2017,City Funds,8,Real Property Transfer,002,Mayoralty,20,TAXES,005,OTHER TAXES,0421,00122,CONVEYANCE OF REAL PROPERTY TX,CONVEYANCE OF REAL PROPERTY TX,1558000000,1558000000,2017,1488000000,1603000000,1656000000,1705000000
2016 11 17,2017,City Funds,9,Mortgage Recording,002,Mayoralty,20,TAXES,003,OTHER SALES AND USE TAX,0421,00077,MORTGAGE TAX,MORTGAGE TAX,1085000000,1085000000,2017,1085000000,1075000000,1104000000,1131000000
2016 11 17,2017,City Funds,10,Utility,002,Mayoralty,20,TAXES,004,INCOME TAXES,0421,00103,UTILITY TAX,UTILITY TAX,381000000,381000000,2017,379000000,394000000,407000000,419000000
2016 11 17,2017,City Funds,11,Cigarette,002,Mayoralty,20,TAXES,003,OTHER SALES AND USE TAX,0421,00070,CIGARETTE TAX,CIGARETTE TAX,43000000,43000000,2017,44000000,42000000,41000000,40000000
2016 11 17,2017,City Funds,12,Hotel,002,Mayoralty,20,TAXES,005,OTHER TAXES,0421,00112,TAX ON OCCUPANCY OF HOTEL ROOM,TAX ON OCCUPANCY OF HOTEL ROOM,541000000,541000000,2017,547000000,563000000,587000000,613000000
2016 11 17,2017,City Funds,13,All Other,002,Mayoralty,20,TAXES,006,PENALTIES & INT ON DELINQ TAX,0421,00033,INTEREST ON TAX RECEIVABLE,PROPERTY TAX PRIOR YEAR,35000000,35000000,2017,34000000,35000000,35000000,35000000
2016 11 17,2017,City Funds,13,All Other,002,Mayoralty,20,TAXES,003,OTHER SALES AND USE TAX,0421,00073,COMMERCIAL MOTOR VEHICLE TAX,COMMERCIAL MOTOR VEHICLE TAX,55000000,55000000,2017,56000000,55000000,55000000,55000000
2016 11 17,2017,City Funds,13,All Other,002,Mayoralty,20,TAXES,003,OTHER SALES AND USE TAX,0421,00079,AUTO USE TAX,AUTO USE TAX,29000000,29000000,2017,29000000,29000000,29000000,29000000
2016 11 17,2017,City Funds,13,All Other,002,Mayoralty,20,TAXES,004,INCOME TAXES,0421,00102,PERS INC TAX  CTY EMP NON-RES,PERS INC TAX CTY EMP NON-RES,156000000,156000000,2017,156000000,156000000,156000000,156000000
2016 11 17,2017,City Funds,13,All Other,002,Mayoralty,20,TAXES,005,OTHER TAXES,0421,00110,PAYMENT IN LIEU OF TAXES,PAYMENT IN LIEU OF TAXES,292200000,292200000,2017,299200000,292200000,292200000,292200000
2016 11 17,2017,City Funds,13,All Other,002,Mayoralty,20,TAXES,005,OTHER TAXES,0421,00114,REFUNDS OF ALL OTHER TAXES,REFUNDS OF ALL OTHER TAXES,-29000000,-29000000,2017,-31000000,-29000000,-29000000,-29000000
2016 11 17,2017,City Funds,13,All Other,002,Mayoralty,20,TAXES,005,OTHER TAXES,0421,00115,TAX ON HORSE RACE ADMISSIONS,TAX ON HORSE RACE ADMISSIONS,50000,50000,2017,50000,50000,50000,50000
2016 11 17,2017,City Funds,13,All Other,002,Mayoralty,20,TAXES,005,OTHER TAXES,0421,00121,OFF TRACK BETTING - SURTAX,OFF TRACK BETTING - SURCHARGE,1220000,1220000,2017,1220000,1220000,1220000,1220000
2016 11 17,2017,City Funds,13,All Other,002,Mayoralty,20,TAXES,005,OTHER TAXES,0421,00124,BEER + LIQUOR EXCISE TAX,BEER & LIQUOR TAX,24000000,24000000,2017,24000000,24000000,24000000,24000000
2016 11 17,2017,City Funds,13,All Other,002,Mayoralty,20,TAXES,005,OTHER TAXES,0421,00125,TAXI MEDALION TRANSFER TAX,TAXI MEDALLION TAX,2000000,2000000,2017,2000000,2000000,2000000,2000000
2016 11 17,2017,City Funds,13,All Other,002,Mayoralty,20,TAXES,005,OTHER TAXES,0421,00126,SURCHARGE ON LIQUOR LICENSES,LIQUOR SURCHARGE,5000000,5000000,2017,5000000,5000000,5000000,5000000
2016 11 17,2017,City Funds,13,All Other,002,Mayoralty,20,TAXES,006,PENALTIES & INT ON DELINQ TAX,0421,00130,PEN & INT-GEN PROP TAX,PEN & INT-GEN PROP TAX,18000000,18000000,2017,19000000,18000000,18000000,18000000
2016 11 17,2017,City Funds,13,All Other,002,Mayoralty,20,TAXES,006,PENALTIES & INT ON DELINQ TAX,0421,00134,REFUNDS ON PEN & INT-OTHER TAX,REFUND ON PEN & INT OTHER TAX,-3000000,-3000000,2017,-4000000,-3000000,-3000000,-3000000
